,Site Type,sample Type,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,Total PFAS,PFAS_Found
121,1,1,8.850528350807505,3.0130023226930813,2.009409048740838,2.009409048740838,1.5788819730709924,3.9,1
122,1,1,10.02209406264634,5.32193204374899,3.5270384421045575,3.5270384421045575,4.7974219718591575,8.9,1
123,0,1,13.45907179326338,1.9303794325478818,6.549566031966753,6.549566031966753,14.300266893681615,10.0,1
124,1,1,9.337710284906402,3.281194375254585,1.7174557513475897,1.7174557513475897,5.204448946993665,0.0,0
125,1,1,6.653062566442238,0.965854272708493,1.5912205257178655,1.5912205257178655,2.2749988434434476,13.0,1
126,1,1,6.653062566442238,0.965854272708493,1.5912205257178655,1.5912205257178655,2.2749988434434476,13.0,1
127,4,1,2.179574885939725,10.351849674331486,5.036095059225165,5.036095059225165,1.3731968566384052,158.0,1
128,4,1,11.926647648888483,8.863753866320781,5.298362374992568,5.298362374992568,9.986709874913242,158.0,1
129,3,0,14.992176573438284,4.340441726901468,5.790061347276941,5.790061347276941,13.957350645051092,27.01,1
130,0,1,12.009750950720251,3.2330394521987076,3.0852901953638763,3.0852901953638763,6.8166468678503715,2.7,1
131,3,0,16.326719417345597,4.542362293554674,7.055076962816651,7.055076962816651,14.645943768785607,3.2,1
132,1,1,7.483232234873857,7.914529636148236,0.8622833079525292,0.8622833079525292,3.6577597413921623,24.0,1
133,1,1,9.170632274168883,3.2166791439263367,6.1577028518402015,6.1577028518402015,6.944641196359736,906.0,1
134,8,6,0.6123571132279931,0.4052446945191089,1.4003528158698484,1.4003528158698484,9.675363754145973,2794.0,1
135,1,1,5.454025381329305,6.552165803170047,5.267374116393586,5.267374116393586,6.385537765131041,3.0,1
136,1,3,5.611975523202862,5.861248226740883,5.54108315740513,5.54108315740513,5.815622738791783,4.6,1
137,1,1,20.134919279617748,7.5476159915900665,8.38339910240816,8.38339910240816,6.095315778373767,3.6,1
138,1,0,12.986612706855059,1.452164103695863,5.700558671437856,5.700558671437856,0.8015325491832781,0.0,0
139,1,1,10.765370227003157,10.17081973166848,11.249155727127214,11.249155727127214,6.148645700977213,6.4,1
140,3,3,23.812167636976767,9.430078894526856,8.140762713414194,8.140762713414194,9.036019576396589,4.1,1
141,1,1,8.595034367928022,8.925352403763723,4.534486411881475,4.534486411881475,10.732390766401803,2.1,1
142,1,1,16.052180158584704,5.851003085422724,1.6437037861193704,1.6437037861193704,5.541061319822971,11.0,1
143,4,1,16.63789878049259,6.371028640436952,2.153593417256067,2.153593417256067,6.089977411022488,79.0,1
144,1,3,9.092536960856217,4.0906662138970535,3.961629475973846,3.961629475973846,4.662572675473667,5.2,1
145,4,1,12.082131947559953,1.1023666334592035,1.3932075644565114,1.3932075644565114,4.028363928963194,79.0,1
146,1,1,18.88934541739296,8.03414506354143,3.2027515511291287,3.2027515511291287,18.182280598691836,1.8,1
147,1,4,26.053585663557147,17.29180420829564,1.7057702477748238,1.7057702477748238,5.78406406012494,0.0,0
148,1,1,6.452907871796128,2.2196306020598757,5.317511597865251,5.317511597865251,2.5832915062720168,11.0,1
149,1,1,3.995500964683995,3.0413139407227825,1.9719298770607496,1.9719298770607496,3.1544778877720736,72.0,1
150,5,1,12.233598942846946,5.576176771216018,4.635695185680541,4.635695185680541,7.4317982122091175,10.0,1
151,1,1,13.155752442518668,6.888635503121929,16.285075768752357,16.285075768752357,30.272203523970944,11.0,1
152,0,1,8.996211267425682,6.683766828298148,1.8906801155879451,1.8906801155879451,8.362231799586604,10.0,1
153,3,1,6.386760657995476,8.810711352053877,2.623926567939718,2.623926567939718,7.461744869663754,6.41,1
154,0,0,8.907990757474652,4.026120159955251,6.894015335616047,6.894015335616047,2.7572337515856593,0.0,0
155,1,1,16.067086078023966,11.347486539224347,13.770559577666853,13.770559577666853,14.237012601966653,8.0,1
156,3,0,4.87467020669574,1.8262793409992568,1.416176132350742,1.416176132350742,2.935468160063571,16.21,1
157,8,6,0.6245387403784223,12.208760462141129,5.522024886692979,5.522024886692979,5.06887678848423,985.0,1
158,1,4,1.3966980513751286,5.306877279119247,6.981068869857616,6.981068869857616,24.20008376984291,0.0,0
159,0,1,22.46197998635882,4.128441921024164,4.196690161566297,4.196690161566297,5.832380543904292,13.0,1
160,0,1,20.49445071659427,19.454866770216174,16.146669869859668,16.146669869859668,2.9520529769038872,21.0,1
161,3,0,16.410822962991595,5.040416056222018,7.499934818559636,7.499934818559636,3.896184868635988,14.41,1
162,3,0,21.539005123694142,4.474523618956549,5.745284292359542,5.745284292359542,4.767646374327648,12.91,1
163,1,0,6.374186788363436,2.546790627118063,0.5538461648637164,0.5538461648637164,4.233760586358458,78.0,1
164,4,1,5.766533067972058,8.685223539860074,5.714070577838598,5.714070577838598,18.944123171931608,158.0,1
165,4,1,17.261712788517787,23.593043272586023,18.786832134593322,18.786832134593322,5.841801653029837,79.0,1
166,3,3,22.343519308309276,5.646428677346305,6.739039742324459,6.739039742324459,2.4261685816866687,26.15,1
